user_id,club_id,rating,interaction_type
1,2,5,founded
1,4,5,founded
1,57,5,founded
1,1091,5,founded
1,1,4,joined
1,3,4,joined
1,5,4,joined
1,6,4,joined
1,7,4,joined
1,8,4,joined
1,9,4,joined
1,10,4,joined
1,11,4,joined
1,12,4,joined
1,13,4,joined
1,14,4,joined
1,15,4,joined
1,16,4,joined
1,27,4,joined
1,28,4,joined
1,30,4,joined
1,31,4,joined
1,32,4,joined
1,33,4,joined
1,35,4,joined
1,36,4,joined
1,38,4,joined
1,39,4,joined
1,40,4,joined
1,41,4,joined
1,42,4,joined
1,45,4,joined
1,46,4,joined
1,47,4,joined
1,48,4,joined
1,50,4,joined
1,51,4,joined
1,52,4,joined
1,53,4,joined
1,54,4,joined
1,55,4,joined
1,58,4,joined
1,59,4,joined
1,60,4,joined
1,61,4,joined
1,62,4,joined
1,63,4,joined
1,64,4,joined
1,65,4,joined
1,66,4,joined
1,67,4,joined
1,69,4,joined
1,70,4,joined
1,71,4,joined
1,72,4,joined
1,73,4,joined
1,75,4,joined
1,76,4,joined
1,77,4,joined
1,78,4,joined
1,79,4,joined
1,80,4,joined
1,81,4,joined
1,82,4,joined
1,83,4,joined
1,85,4,joined
1,86,4,joined
1,89,4,joined
1,90,4,joined
1,91,4,joined
1,94,4,joined
1,95,4,joined
1,96,4,joined
1,97,4,joined
1,98,4,joined
1,99,4,joined
1,100,4,joined
1,101,4,joined
1,104,4,joined
1,105,4,joined
1,106,4,joined
1,107,4,joined
1,108,4,joined
1,109,4,joined
1,110,4,joined
1,111,4,joined
1,113,4,joined
1,114,4,joined
1,115,4,joined
1,116,4,joined
1,118,4,joined
1,119,4,joined
1,120,4,joined
1,122,4,joined
1,123,4,joined
1,124,4,joined
1,125,4,joined
1,126,4,joined
1,129,4,joined
1,132,4,joined
1,133,4,joined
1,134,4,joined
1,135,4,joined
1,136,4,joined
1,138,4,joined
1,140,4,joined
1,141,4,joined
1,142,4,joined
1,144,4,joined
1,149,4,joined
1,150,4,joined
1,153,4,joined
1,155,4,joined
1,156,4,joined
1,160,4,joined
1,161,4,joined
1,162,4,joined
1,163,4,joined
1,164,4,joined
1,166,4,joined
1,169,4,joined
1,170,4,joined
1,171,4,joined
1,172,4,joined
1,174,4,joined
1,175,4,joined
1,176,4,joined
1,177,4,joined
1,178,4,joined
1,180,4,joined
1,181,4,joined
1,184,4,joined
1,185,4,joined
1,186,4,joined
1,188,4,joined
1,190,4,joined
1,191,4,joined
1,192,4,joined
1,194,4,joined
1,197,4,joined
1,985,4,joined
1,988,4,joined
1,999,4,joined
1,1006,4,joined
1,1013,4,joined
1,1018,4,joined
1,1027,4,joined
1,1029,4,joined
1,1031,4,joined
1,1032,4,joined
1,1033,4,joined
1,1034,4,joined
1,1050,4,joined
1,1053,4,joined
1,1060,4,joined
1,1104,4,joined
1,1111,4,joined
1,1114,4,joined
1,1126,4,joined
1,1128,4,joined
1,1130,4,joined
1,1134,4,joined
1,1144,4,joined
1,1145,4,joined
1,1147,4,joined
1,1150,4,joined
1,1153,4,joined
1,1156,4,joined
1,1165,4,joined
1,1167,4,joined
1,1173,4,joined
1,1176,4,joined
1,1178,4,joined
1,1181,4,joined
1,1190,4,joined
1,1191,4,joined
1,1198,4,joined
2,1,5,founded
2,3,5,founded
2,58,5,founded
2,216753,5,founded
2,2,4,joined
2,4,4,joined
2,5,4,joined
2,6,4,joined
2,7,4,joined
2,8,4,joined
2,9,4,joined
2,10,4,joined
2,11,4,joined
2,12,4,joined
2,13,4,joined
2,14,4,joined
2,15,4,joined
2,16,4,joined
2,27,4,joined
2,28,4,joined
2,29,4,joined
2,30,4,joined
2,32,4,joined
2,33,4,joined
2,34,4,joined
2,35,4,joined
2,37,4,joined
2,38,4,joined
2,39,4,joined
2,41,4,joined
2,42,4,joined
2,44,4,joined
2,45,4,joined
2,46,4,joined
2,47,4,joined
2,48,4,joined
2,49,4,joined
2,50,4,joined
2,51,4,joined
2,52,4,joined
2,53,4,joined
2,54,4,joined
2,56,4,joined
2,57,4,joined
2,59,4,joined
2,60,4,joined
2,61,4,joined
2,62,4,joined
2,63,4,joined
2,64,4,joined
2,66,4,joined
2,68,4,joined
2,70,4,joined
2,71,4,joined
2,72,4,joined
2,73,4,joined
2,74,4,joined
2,75,4,joined
2,76,4,joined
2,78,4,joined
2,79,4,joined
2,80,4,joined
2,83,4,joined
2,84,4,joined
2,85,4,joined
2,86,4,joined
2,87,4,joined
2,88,4,joined
2,89,4,joined
2,90,4,joined
2,93,4,joined
2,95,4,joined
2,97,4,joined
2,98,4,joined
2,100,4,joined
2,102,4,joined
2,103,4,joined
2,104,4,joined
2,107,4,joined
2,108,4,joined
2,109,4,joined
2,110,4,joined
2,114,4,joined
2,115,4,joined
2,117,4,joined
2,118,4,joined
2,119,4,joined
2,121,4,joined
2,124,4,joined
2,125,4,joined
2,126,4,joined
2,127,4,joined
2,128,4,joined
2,130,4,joined
2,131,4,joined
2,133,4,joined
2,134,4,joined
2,136,4,joined
2,139,4,joined
2,140,4,joined
2,142,4,joined
2,144,4,joined
2,145,4,joined
2,148,4,joined
2,149,4,joined
2,150,4,joined
2,151,4,joined
2,152,4,joined
2,155,4,joined
2,157,4,joined
2,165,4,joined
2,168,4,joined
2,171,4,joined
2,172,4,joined
2,175,4,joined
2,177,4,joined
2,179,4,joined
2,183,4,joined
2,184,4,joined
2,185,4,joined
2,186,4,joined
2,187,4,joined
2,189,4,joined
2,190,4,joined
2,193,4,joined
2,194,4,joined
2,195,4,joined
2,198,4,joined
2,199,4,joined
2,987,4,joined
2,995,4,joined
2,997,4,joined
2,999,4,joined
2,1003,4,joined
2,1017,4,joined
2,1018,4,joined
2,1020,4,joined
2,1022,4,joined
2,1032,4,joined
2,1034,4,joined
2,1039,4,joined
2,1040,4,joined
2,1047,4,joined
2,1050,4,joined
2,1058,4,joined
2,1060,4,joined
2,1062,4,joined
2,1063,4,joined
2,1067,4,joined
2,1073,4,joined
2,1080,4,joined
2,1091,4,joined
2,1094,4,joined
2,1098,4,joined
2,1101,4,joined
2,1108,4,joined
2,1111,4,joined
2,1114,4,joined
2,1120,4,joined
2,1122,4,joined
2,1123,4,joined
2,1128,4,joined
2,1129,4,joined
2,1131,4,joined
2,1140,4,joined
2,1153,4,joined
2,1160,4,joined
2,1166,4,joined
2,1167,4,joined
2,1182,4,joined
2,1183,4,joined
2,1185,4,joined
2,1186,4,joined
2,1191,4,joined
2,1192,4,joined
2,75164,4,joined
2,97451,4,joined
2,149454,4,joined
2,191843,4,joined
2,199272,4,joined
3,5,5,founded
3,15,5,founded
3,59,5,founded
3,2,4,joined
3,3,4,joined
3,4,4,joined
3,6,4,joined
3,7,4,joined
3,8,4,joined
3,9,4,joined
3,10,4,joined
3,11,4,joined
3,12,4,joined
3,13,4,joined
3,14,4,joined
3,16,4,joined
3,27,4,joined
3,30,4,joined
3,31,4,joined
3,32,4,joined
3,33,4,joined
3,35,4,joined
3,36,4,joined
3,37,4,joined
3,40,4,joined
3,41,4,joined
3,42,4,joined
3,43,4,joined
3,44,4,joined
3,46,4,joined
3,47,4,joined
3,48,4,joined
3,49,4,joined
3,50,4,joined
3,51,4,joined
3,52,4,joined
3,53,4,joined
3,54,4,joined
3,55,4,joined
3,56,4,joined
3,57,4,joined
3,58,4,joined
3,60,4,joined
3,61,4,joined
3,62,4,joined
3,63,4,joined
3,64,4,joined
3,65,4,joined
3,66,4,joined
3,68,4,joined
3,69,4,joined
3,70,4,joined
3,71,4,joined
3,72,4,joined
3,73,4,joined
3,75,4,joined
3,76,4,joined
3,77,4,joined
3,79,4,joined
3,81,4,joined
3,82,4,joined
3,83,4,joined
3,84,4,joined
3,85,4,joined
3,87,4,joined
3,88,4,joined
3,90,4,joined
3,91,4,joined
3,92,4,joined
3,93,4,joined
3,94,4,joined
3,95,4,joined
3,98,4,joined
3,99,4,joined
3,100,4,joined
